timestamp,project_id,resource_type,resource_id,zone,metric_name,metric_value,metric_unit,cpu_usage_percent,memory_usage_bytes,memory_limit_bytes,network_ingress_bytes,network_egress_bytes,restart_count,label_app,label_env,label_version
2026-03-05T08:00:00.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/cpu/usage_time,0.08,s{CPU},8.0,314572800,1073741824,204800,102400,0,terminal-handler,prod-sim,2.7.0
2026-03-05T08:00:00.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/memory/used_bytes,314572800,By,,,,,,,terminal-handler,prod-sim,2.7.0
2026-03-05T08:00:00.000Z,synth-banking-sim-001,cloud_sql_instance,synth-sql-instance-01,europe-west2-b,cloudsql/database/cpu/usage_time,0.05,s{CPU},5.0,,,,,,terminal-handler-db,prod-sim,
2026-03-05T08:15:00.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/cpu/usage_time,0.09,s{CPU},9.0,367001600,1073741824,217088,110592,0,terminal-handler,prod-sim,2.7.0
2026-03-05T08:30:00.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/cpu/usage_time,0.11,s{CPU},11.0,429916160,1073741824,229376,118784,0,terminal-handler,prod-sim,2.7.0
2026-03-05T08:45:00.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/cpu/usage_time,0.18,s{CPU},18.0,503316480,1073741824,241664,126976,0,terminal-handler,prod-sim,2.7.0
2026-03-05T09:00:00.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/cpu/usage_time,0.34,s{CPU},34.0,671088640,1073741824,253952,135168,0,terminal-handler,prod-sim,2.7.0
2026-03-05T09:00:00.000Z,synth-banking-sim-001,cloud_sql_instance,synth-sql-instance-01,europe-west2-b,cloudsql/database/postgresql/num_backends,9,,,,,,,,terminal-handler-db,prod-sim,
2026-03-05T09:15:00.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/cpu/usage_time,0.61,s{CPU},61.0,838860800,1073741824,266240,143360,0,terminal-handler,prod-sim,2.7.0
2026-03-05T09:29:45.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/cpu/usage_time,0.94,s{CPU},94.0,1040187392,1073741824,278528,151552,0,terminal-handler,prod-sim,2.7.0
2026-03-05T09:30:00.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/restart_count,1,,,,,,,,terminal-handler,prod-sim,2.7.0
2026-03-05T09:30:15.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/cpu/usage_time,0.07,s{CPU},7.0,209715200,1073741824,40960,20480,1,terminal-handler,prod-sim,2.7.0
2026-03-05T09:33:40.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/cpu/usage_time,0.93,s{CPU},93.0,1040187392,1073741824,253952,126976,1,terminal-handler,prod-sim,2.7.0
2026-03-05T09:33:55.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/restart_count,2,,,,,,,,terminal-handler,prod-sim,2.7.0
2026-03-05T09:33:55.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/cpu/usage_time,0.07,s{CPU},7.0,209715200,1073741824,40960,20480,2,terminal-handler,prod-sim,2.7.0
2026-03-05T10:00:00.000Z,synth-banking-sim-001,gke_container,terminal-handler-pod-7d9f-xk2lp,europe-west2-b,container/cpu/usage_time,0.12,s{CPU},12.0,262144000,1073741824,204800,102400,2,terminal-handler,prod-sim,2.7.0
2026-03-05T10:00:00.000Z,synth-banking-sim-001,cloud_sql_instance,synth-sql-instance-01,europe-west2-b,cloudsql/database/cpu/usage_time,0.07,s{CPU},7.0,,,,,,terminal-handler-db,prod-sim,
