timestamp,atm_id,hostname,os_version,cpu_usage_percent,memory_used_mb,memory_total_mb,memory_usage_percent,disk_read_bytes_per_sec,disk_write_bytes_per_sec,disk_free_gb,network_bytes_sent_per_sec,network_bytes_recv_per_sec,network_errors,process_count,system_uptime_seconds,event_log_errors_last_min
2026-03-05T08:00:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,12.4,1843.2,4096.0,44.99,204800,51200,18.4,12288,8192,0,72,864000,0
2026-03-05T08:00:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,10.1,1900.4,4096.0,46.39,196608,40960,19.1,10240,7168,0,70,720000,0
2026-03-05T08:00:00.000Z,ATM-GB-0003,ATM-HOST-0003,Windows 10 LTSB 2016 Build 14393,11.8,2048.0,4096.0,50.00,180224,36864,17.8,11264,8192,0,68,600000,0
2026-03-05T08:00:00.000Z,ATM-GB-0004,ATM-HOST-0004,Windows 10 LTSB 2016 Build 14393,9.5,1700.0,4096.0,41.50,163840,32768,20.2,9216,6144,0,65,432000,0
2026-03-05T08:15:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,13.1,1856.0,4096.0,45.31,208896,53248,18.3,12800,8448,0,72,864900,0
2026-03-05T08:15:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,10.5,1980.0,4096.0,48.34,200704,45056,19.0,10752,7424,0,71,720900,0
2026-03-05T08:30:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,14.0,1870.0,4096.0,45.65,212992,55296,18.2,13312,8704,0,73,865800,0
2026-03-05T08:30:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,11.2,2100.0,4096.0,51.27,204800,49152,18.9,11264,7680,0,72,721800,0
2026-03-05T08:45:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,15.4,2560.0,4096.0,62.50,204800,49152,18.7,11264,7680,0,73,722700,0
2026-03-05T09:00:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,15.2,1890.0,4096.0,46.14,217088,57344,18.1,13824,8960,0,74,867600,0
2026-03-05T09:00:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,28.7,3276.8,4096.0,80.00,204800,49152,18.5,11264,7680,1,76,723600,2
2026-03-05T09:15:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,16.8,1910.0,4096.0,46.63,221184,59392,18.0,14336,9216,0,74,868500,0
2026-03-05T09:15:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,44.1,3686.4,4096.0,90.00,204800,102400,18.3,8192,5120,3,79,724500,5
2026-03-05T09:30:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,19.0,1925.0,4096.0,47.00,225280,61440,17.9,14848,9472,0,74,869400,0
2026-03-05T09:30:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,71.3,3891.2,4096.0,95.00,204800,204800,18.1,4096,2048,8,82,725400,12
2026-03-05T09:45:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,20.1,1940.0,4096.0,47.36,229376,63488,17.8,15360,9728,0,74,870300,0
2026-03-05T09:45:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,88.2,3993.6,4096.0,97.50,204800,409600,18.0,2048,1024,14,87,726300,18
2026-03-05T10:00:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,21.0,1955.0,4096.0,47.73,233472,65536,17.7,15872,9984,0,74,871200,0
2026-03-05T10:00:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,91.5,4044.8,4096.0,98.75,204800,819200,17.8,1024,512,22,91,727200,28
2026-03-05T10:00:00.000Z,ATM-GB-0003,ATM-HOST-0003,Windows 10 LTSB 2016 Build 14393,10.2,2048.0,4096.0,50.00,163840,32768,17.5,0,0,0,68,601800,0
2026-03-05T10:00:00.000Z,ATM-GB-0004,ATM-HOST-0004,Windows 10 LTSB 2016 Build 14393,10.0,1710.0,4096.0,41.75,167936,34816,20.0,9728,6400,0,65,433800,0
