timestamp,atm_id,hostname,os_version,cpu_usage_percent,memory_used_mb,memory_total_mb,memory_usage_percent,disk_read_bytes_per_sec,disk_write_bytes_per_sec,disk_free_gb,network_bytes_sent_per_sec,network_bytes_recv_per_sec,network_errors,process_count,system_uptime_seconds,event_log_errors_last_min,_anomaly
2026-03-05T00:00:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,11.1,1835.2,4096.0,44.8,190223,51619,18.6,10513,8206,0,71,861908,0,
2026-03-05T00:00:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,11.7,1794.5,4096.0,43.81,185805,50186,18.8,12581,8256,0,76,801308,0,
2026-03-05T00:00:00.000Z,ATM-GB-0003,ATM-HOST-0003,Windows 10 LTSB 2016 Build 14393,10.2,1931.8,4096.0,47.16,182923,52624,18.5,12891,6901,0,74,545991,0,
2026-03-05T00:00:00.000Z,ATM-GB-0004,ATM-HOST-0004,Windows 10 LTSB 2016 Build 14393,12.0,1802.7,4096.0,44.01,209052,49219,18.5,10443,7834,0,71,438087,0,
2026-03-05T00:00:00.000Z,ATM-GB-0005,ATM-HOST-0005,Windows 10 LTSB 2016 Build 14393,11.8,1829.3,4096.0,44.66,198293,45251,18.8,13321,9010,0,75,672088,0,
2026-03-05T00:00:00.000Z,ATM-GB-0006,ATM-HOST-0006,Windows 10 LTSB 2016 Build 14393,11.3,1934.2,4096.0,47.22,183432,47317,18.5,12421,7861,0,73,464851,0,
2026-03-05T00:01:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,13.1,1820.9,4096.0,44.46,188779,50504,18.6,10965,7701,0,68,861968,0,
2026-03-05T00:01:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,13.5,1811.7,4096.0,44.23,219317,53338,18.8,11461,6998,0,76,801368,0,
2026-03-05T00:01:00.000Z,ATM-GB-0003,ATM-HOST-0003,Windows 10 LTSB 2016 Build 14393,12.6,1853.0,4096.0,45.24,215720,46840,18.5,11067,8579,0,70,546051,0,
2026-03-05T00:01:00.000Z,ATM-GB-0004,ATM-HOST-0004,Windows 10 LTSB 2016 Build 14393,11.3,1851.1,4096.0,45.19,182574,48766,18.4,10902,7442,0,73,438147,0,
2026-03-05T00:01:00.000Z,ATM-GB-0005,ATM-HOST-0005,Windows 10 LTSB 2016 Build 14393,11.8,1830.6,4096.0,44.69,211072,54209,18.3,13294,6842,0,69,672148,0,
2026-03-05T00:01:00.000Z,ATM-GB-0006,ATM-HOST-0006,Windows 10 LTSB 2016 Build 14393,12.3,1781.6,4096.0,43.5,193261,50069,18.8,12751,8997,0,75,464911,0,
2026-03-05T00:02:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,11.8,1867.2,4096.0,45.59,216149,49517,18.3,10815,8408,0,68,862028,0,
2026-03-05T00:02:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,10.5,1866.8,4096.0,45.58,190196,48753,18.4,11332,8803,0,74,801428,0,
2026-03-05T00:02:00.000Z,ATM-GB-0003,ATM-HOST-0003,Windows 10 LTSB 2016 Build 14393,10.9,1845.3,4096.0,45.05,219131,54465,18.2,10923,7083,0,75,546111,0,
2026-03-05T00:02:00.000Z,ATM-GB-0004,ATM-HOST-0004,Windows 10 LTSB 2016 Build 14393,10.3,1859.7,4096.0,45.4,216378,49163,18.2,13102,7063,0,68,438207,0,
2026-03-05T00:02:00.000Z,ATM-GB-0005,ATM-HOST-0005,Windows 10 LTSB 2016 Build 14393,10.9,1883.4,4096.0,45.98,197576,45682,18.4,11236,8122,0,69,672208,0,
2026-03-05T00:02:00.000Z,ATM-GB-0006,ATM-HOST-0006,Windows 10 LTSB 2016 Build 14393,11.7,1921.2,4096.0,46.9,193180,53030,18.7,11132,7623,0,70,464971,0,
2026-03-05T00:03:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,12.5,1907.6,4096.0,46.57,198577,47783,18.6,11776,8623,0,76,862088,0,
2026-03-05T00:03:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,11.8,1877.3,4096.0,45.83,207539,46329,18.2,11216,9134,0,70,801488,0,
2026-03-05T00:03:00.000Z,ATM-GB-0003,ATM-HOST-0003,Windows 10 LTSB 2016 Build 14393,13.8,1870.7,4096.0,45.67,187954,49832,18.9,13064,7681,0,74,546171,0,
2026-03-05T00:03:00.000Z,ATM-GB-0004,ATM-HOST-0004,Windows 10 LTSB 2016 Build 14393,12.1,1937.2,4096.0,47.29,192867,48795,18.1,13279,7005,0,73,438267,0,
2026-03-05T00:03:00.000Z,ATM-GB-0005,ATM-HOST-0005,Windows 10 LTSB 2016 Build 14393,11.4,1930.4,4096.0,47.13,195951,45946,18.4,13490,7370,0,73,672268,0,
2026-03-05T00:03:00.000Z,ATM-GB-0006,ATM-HOST-0006,Windows 10 LTSB 2016 Build 14393,11.5,1776.5,4096.0,43.37,214019,51775,18.6,12667,8600,0,74,465031,0,
2026-03-05T00:04:00.000Z,ATM-GB-0001,ATM-HOST-0001,Windows 10 LTSB 2016 Build 14393,11.6,1763.0,4096.0,43.04,196935,51839,18.7,11928,8713,0,69,862148,0,
2026-03-05T00:04:00.000Z,ATM-GB-0002,ATM-HOST-0002,Windows 10 LTSB 2016 Build 14393,10.9,1838.2,4096.0,44.88,181606,52946,18.7,13284,8095,0,68,801548,0,
2026-03-05T00:04:00.000Z,ATM-GB-0003,ATM-HOST-0003,Windows 10 LTSB 2016 Build 14393,13.5,1836.1,4096.0,44.83,189826,51089,18.8,11978,7131,0,71,546231,0,
2026-03-05T00:04:00.000Z,ATM-GB-0004,ATM-HOST-0004,Windows 10 LTSB 2016 Build 14393,11.7,1887.3,4096.0,46.08,184562,51033,18.6,13408,8390,0,75,438327,0,
